"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2016","88.44","95.22","95.88","87.21","55.75M","-6.36%"
"06/12/2016","94.45","95.02","97.20","93.25","46.24M","0.75%"
"06/05/2016","93.75","100.29","101.63","93.28","44.56M","-5.86%"
"05/29/2016","99.59","102.95","103.45","98.53","34.34M","-3.59%"
"05/22/2016","103.30","92.98","104.00","92.85","77.37M","11.69%"
"05/15/2016","92.49","87.56","93.28","86.15","63.24M","5.25%"
"05/08/2016","87.88","90.73","93.25","85.74","64.39M","-3.26%"
"05/01/2016","90.84","90.41","93.25","88.11","51.34M","0.90%"
"04/24/2016","90.03","95.70","95.75","88.21","67.98M","-6.12%"
"04/17/2016","95.90","109.90","110.70","93.14","150.88M","-14.00%"
"04/10/2016","111.51","104.04","111.85","102.21","57.89M","7.42%"
"04/03/2016","103.81","105.90","106.44","102.82","49.24M","-1.79%"
"03/27/2016","105.70","98.34","105.79","97.82","67.08M","7.46%"
"03/20/2016","98.36","101.15","102.10","97.07","37.63M","-2.73%"
"03/13/2016","101.12","97.20","102.41","96.43","62.85M","3.54%"
"03/06/2016","97.66","101.00","101.79","94.50","83.12M","-3.86%"
"02/28/2016","101.58","94.81","102.22","93.34","88.55M","7.16%"
"02/21/2016","94.79","90.75","97.48","86.70","79.91M","6.23%"
"02/14/2016","89.23","89.00","94.90","87.54","66.63M","2.09%"
"02/07/2016","87.40","80.57","92.21","79.95","114.96M","5.57%"
"01/31/2016","82.79","91.79","97.18","81.86","114.09M","-9.85%"
"01/24/2016","91.84","99.78","102.68","90.11","112.99M","-8.82%"
"01/17/2016","100.72","106.57","110.14","97.05","146.58M","-3.19%"
"01/10/2016","104.04","112.13","117.78","101.21","105.42M","-6.60%"
"01/03/2016","111.39","109.00","122.18","104.96","123.21M","-2.61%"
"12/27/2015","114.38","117.26","119.60","113.85","34.01M","-2.51%"
"12/20/2015","117.33","119.51","119.59","114.86","34.22M","-0.58%"
"12/13/2015","118.02","119.77","126.35","114.66","78.91M","-0.75%"
"12/06/2015","118.91","131.19","133.27","118.60","89.31M","-9.18%"
"11/29/2015","130.93","126.03","132.20","122.42","97.45M","4.38%"
"11/22/2015","125.44","124.30","126.39","120.03","51.69M","1.29%"
"11/15/2015","123.84","102.97","124.07","101.86","113.47M","19.48%"
"11/08/2015","103.65","113.36","115.25","103.27","74.75M","-9.13%"
"11/01/2015","114.06","109.20","115.68","106.30","66.53M","5.24%"
"10/25/2015","108.38","100.05","110.10","99.38","62.81M","8.34%"
"10/18/2015","100.04","98.07","103.62","96.26","91.88M","1.06%"
"10/11/2015","98.99","114.45","115.42","98.41","133.19M","-12.65%"
"10/04/2015","113.33","107.48","115.83","102.60","119.61M","6.80%"
"09/27/2015","106.11","101.57","106.87","96.85","90.41M","3.79%"
"09/20/2015","102.24","103.30","105.45","96.78","85.22M","-0.37%"
"09/13/2015","102.62","96.84","107.50","93.61","113.73M","5.24%"
"09/06/2015","97.51","102.08","102.79","93.55","117.41M","-1.30%"
"08/30/2015","98.79","115.24","117.00","97.34","146.58M","-16.02%"
