"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2018","59.25","59.47","60.22","58.53","131.69M","-0.33%"
"07/08/2018","59.44","57.42","59.77","57.05","106.03M","4.27%"
"07/01/2018","57.01","54.95","57.05","54.69","79.18M","2.20%"
"06/24/2018","55.78","57.18","57.20","54.80","148.04M","-3.45%"
"06/17/2018","57.77","57.18","59.31","57.18","144.65M","0.28%"
"06/10/2018","57.61","55.93","57.77","55.93","139.42M","2.80%"
"06/03/2018","56.04","56.12","57.29","55.61","161.53M","0.12%"
"05/27/2018","55.97","53.24","56.00","52.76","170.27M","4.08%"
"05/20/2018","53.78","53.70","54.40","53.09","96.80M","0.87%"
"05/13/2018","53.32","55.00","55.54","53.03","134.38M","-2.90%"
"05/06/2018","54.91","52.46","55.07","52.35","148.27M","4.77%"
"04/29/2018","52.41","51.50","52.43","50.31","169.12M","1.76%"
"04/22/2018","51.50","53.89","54.14","50.53","263.84M","-4.00%"
"04/15/2018","53.65","51.85","54.71","51.34","170.26M","4.24%"
"04/08/2018","51.46","50.84","52.32","50.57","156.95M","2.21%"
"04/01/2018","50.35","51.14","52.14","49.52","210.99M","-2.40%"
"03/25/2018","51.59","52.30","53.24","49.03","237.13M","1.00%"
"03/18/2018","51.08","56.00","56.10","51.06","226.81M","-10.05%"
"03/11/2018","56.79","58.19","58.85","56.60","198.70M","-2.10%"
"03/04/2018","58.00","53.76","58.04","53.45","150.21M","7.52%"
"02/25/2018","53.95","56.39","57.20","52.41","200.06M","-4.25%"
"02/18/2018","56.34","54.53","56.70","54.43","110.28M","2.92%"
"02/11/2018","54.74","52.40","55.23","52.05","168.07M","5.49%"
"02/04/2018","51.89","54.53","55.50","49.63","319.61M","-6.67%"
"01/28/2018","55.60","58.82","59.34","55.36","234.88M","-5.44%"
"01/21/2018","58.79","56.87","58.99","56.76","157.34M","3.37%"
"01/14/2018","56.88","56.63","57.00","55.85","115.09M","1.36%"
"01/07/2018","56.11","55.11","56.21","54.81","113.84M","1.81%"
"12/31/2017","55.11","52.42","55.21","52.26","99.03M","5.33%"
"12/24/2017","52.32","52.90","53.01","52.24","75.16M","-1.30%"
"12/17/2017","53.01","53.30","53.92","52.97","118.25M","-0.38%"
"12/10/2017","53.21","51.77","53.38","51.60","171.80M","2.62%"
"12/03/2017","51.85","50.63","52.10","49.41","159.89M","2.65%"
"11/26/2017","50.51","52.00","53.12","50.10","176.51M","-2.92%"
"11/19/2017","52.03","51.01","52.16","50.88","66.69M","2.12%"
"11/12/2017","50.95","51.17","51.80","50.71","104.51M","-0.88%"
"11/05/2017","51.40","51.45","52.18","50.98","105.84M","-0.43%"
"10/29/2017","51.62","50.70","51.63","50.38","138.30M","1.30%"
"10/22/2017","50.96","49.48","52.42","48.03","222.23M","3.14%"
"10/15/2017","49.41","49.60","49.84","48.92","115.10M","-0.14%"
"10/08/2017","49.48","49.00","49.86","48.30","119.71M","1.10%"
"10/01/2017","48.94","48.00","48.97","47.39","110.24M","2.04%"
"09/24/2017","47.96","46.27","47.99","45.48","167.29M","3.30%"
"09/17/2017","46.43","46.00","46.83","45.53","125.13M","0.91%"
"09/10/2017","46.01","46.71","46.92","45.82","148.14M","-0.69%"
"09/03/2017","46.33","46.65","46.85","45.96","102.00M","-1.15%"
"08/27/2017","46.87","45.80","47.12","45.25","122.06M","2.36%"
"08/20/2017","45.79","45.50","46.54","45.17","110.48M","0.57%"
"08/13/2017","45.53","46.13","46.63","45.36","111.49M","-0.42%"
"08/06/2017","45.72","46.45","46.79","45.28","126.33M","-1.47%"
"07/30/2017","46.40","47.09","47.18","45.83","147.14M","-1.44%"
"07/23/2017","47.08","48.61","49.31","46.00","301.14M","-3.23%"
"07/16/2017","48.65","47.85","48.80","47.46","137.59M","1.78%"
"07/09/2017","47.80","46.09","47.85","45.98","123.73M","4.07%"
"07/02/2017","45.93","45.61","46.08","44.74","131.73M","1.08%"
"06/25/2017","45.44","48.49","48.67","45.42","245.78M","-5.88%"
"06/18/2017","48.28","47.50","48.30","47.45","126.63M","2.75%"
"06/11/2017","46.99","46.98","48.06","45.76","249.89M","-1.05%"
"06/04/2017","47.49","48.83","49.41","46.78","186.24M","-2.64%"
"05/28/2017","48.78","48.52","48.96","48.00","141.52M","0.43%"
"05/21/2017","48.57","46.75","48.75","46.75","126.76M","4.00%"
"05/14/2017","46.70","46.65","47.16","45.91","148.60M","0.19%"
"05/07/2017","46.61","46.31","46.88","46.15","119.43M","0.54%"
"04/30/2017","46.36","45.10","46.80","45.07","170.72M","2.34%"
"04/23/2017","45.30","42.56","45.84","42.49","191.70M","7.45%"
"04/16/2017","42.16","41.25","42.26","41.22","99.37M","2.38%"
"04/09/2017","41.18","41.27","41.47","40.85","81.63M","-0.12%"
"04/02/2017","41.23","41.46","42.12","41.03","131.68M","-0.60%"
"03/26/2017","41.48","40.35","41.68","40.17","155.18M","1.87%"
"03/19/2017","40.72","42.50","42.67","40.44","211.29M","-4.44%"
"03/12/2017","42.61","42.20","42.67","42.04","121.59M","1.07%"
"03/05/2017","42.16","41.35","42.25","41.12","122.04M","1.71%"
"02/26/2017","41.45","41.23","41.81","41.01","133.95M","0.05%"
"02/19/2017","41.43","41.43","41.67","41.14","102.29M","0.07%"
"02/12/2017","41.40","40.80","41.40","40.77","129.61M","1.77%"
"02/05/2017","40.68","39.98","40.76","39.76","114.14M","1.52%"
"01/29/2017","40.07","40.73","40.79","39.53","208.65M","-2.67%"
"01/22/2017","41.17","40.36","42.10","40.19","220.09M","2.29%"
"01/15/2017","40.25","40.35","40.47","40.02","104.92M","-0.35%"
"01/08/2017","40.39","40.32","40.56","39.96","119.39M","0.20%"
"01/01/2017","40.31","38.94","40.40","38.79","114.11M","4.46%"
"12/25/2016","38.59","39.53","39.89","38.52","89.15M","-2.30%"
"12/18/2016","39.50","39.51","39.93","39.31","99.81M","-0.10%"
"12/11/2016","39.54","39.25","40.22","39.22","200.48M","0.20%"
"12/04/2016","39.46","37.89","39.47","37.65","163.12M","5.17%"
"11/27/2016","37.52","38.00","38.98","36.85","213.36M","-1.47%"
"11/20/2016","38.08","38.13","38.85","37.76","99.79M","0.13%"
"11/13/2016","38.03","37.78","38.75","36.38","207.24M","0.88%"
"11/06/2016","37.70","38.73","39.78","37.52","254.72M","-1.05%"
"10/30/2016","38.10","39.77","39.84","37.53","216.60M","-4.20%"
"10/23/2016","39.77","40.24","40.83","39.58","238.82M","-0.50%"
"10/16/2016","39.97","38.99","40.23","38.88","158.81M","2.67%"
