"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2004","2.63","2.61","2.73","2.59","781.98M","1.54%"
"06/20/2004","2.59","2.48","2.60","2.41","693.45M","4.44%"
"06/13/2004","2.48","2.47","2.55","2.45","530.10M","-0.80%"
"06/06/2004","2.50","2.58","2.61","2.46","549.96M","-1.96%"
"05/30/2004","2.55","2.39","2.58","2.38","927.03M","5.37%"
"05/23/2004","2.42","2.06","2.43","2.06","890.99M","17.48%"
"05/16/2004","2.06","2.11","2.16","2.03","616.33M","-4.19%"
"05/09/2004","2.15","2.06","2.21","2.03","773.95M","2.38%"
"05/02/2004","2.10","2.17","2.26","2.08","724.48M","-3.67%"
"04/25/2004","2.18","2.31","2.44","2.17","827.60M","-5.63%"
"04/18/2004","2.31","2.27","2.46","2.25","1.03B","1.76%"
"04/11/2004","2.27","2.40","2.42","2.27","604.68M","-5.42%"
"04/04/2004","2.40","2.28","2.41","2.27","506.04M","4.35%"
"03/28/2004","2.30","2.10","2.31","2.10","607.32M","10.58%"
"03/21/2004","2.08","2.09","2.12","1.96","819.15M","-2.80%"
"03/14/2004","2.14","2.11","2.19","2.05","589.14M","0.94%"
"03/07/2004","2.12","2.20","2.25","2.05","669.67M","-3.64%"
"02/29/2004","2.20","2.14","2.24","2.08","707.82M","2.33%"
"02/22/2004","2.15","2.26","2.26","2.11","814.92M","-4.87%"
"02/15/2004","2.26","2.31","2.32","2.23","678.84M","-2.59%"
"02/08/2004","2.32","2.34","2.40","2.28","623.75M","0.00%"
"02/01/2004","2.32","2.53","2.53","2.21","1.61B","-7.94%"
"01/25/2004","2.52","2.84","2.89","2.43","1.49B","-11.89%"
"01/18/2004","2.86","2.78","2.89","2.77","625.48M","2.51%"
"01/11/2004","2.79","2.58","2.84","2.54","1.13B","8.14%"
"01/04/2004","2.58","2.60","2.68","2.46","992.66M","-0.77%"
"12/28/2003","2.60","2.69","2.69","2.57","503.30M","-2.62%"
"12/21/2003","2.67","2.45","2.75","2.44","631.12M","8.54%"
